ID,NPL_score,SMILES_no_chiral,SMILES_chiral
CHEMBL408017,-0.906,O=[N+]([O-])c1ccc(C2=NCC(CN3CCCC3)O2)cc1,O=[N+]([O-])c1ccc(C2=NC[C@@H](CN3CCCC3)O2)cc1
CHEMBL558882,0.688,N=c1[nH]c(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,N=c1[nH]c(I)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O
CHEMBL560105,0.603,NC(CCSCC1OC(n2cnc3c(=NCCCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,NC(CCSC[C@H]1O[C@@H](n2cnc3c(=NCCCc4ccccc4)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O
CHEMBL552763,0.28,NC(CCSCC1OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]c(Cl)nc32)C(O)C1O)C(=O)O,NC(CCSC[C@H]1O[C@@H](n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]c(Cl)nc32)[C@H](O)[C@@H]1O)C(=O)O
CHEMBL1605668,-0.464,COc1ccc(C(=O)C=Cc2ccc(-c3ccccc3)cc2)cc1CSCC(=O)O,COc1ccc(C(=O)/C=C/c2ccc(-c3ccccc3)cc2)cc1CSCC(=O)O
CHEMBL2005181,-1.367,Cc1cc(C)c2nc3sc(=Cc4ccc(-c5ccccc5C(=O)O)o4)c(=O)n3c2c1,Cc1cc(C)c2nc3sc(=Cc4ccc(-c5ccccc5C(=O)O)o4)c(=O)n3c2c1
CHEMBL1707222,0.51,COC1=C(Br)C(=O)c2nc(C)ccc2C1=O,COC1=C(Br)C(=O)c2nc(C)ccc2C1=O
CHEMBL374740,-0.447,O=C1Nc2c(Cl)cc(Cl)cc2C1=O,O=C1Nc2c(Cl)cc(Cl)cc2C1=O
CHEMBL1421559,-0.168,Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2,Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2
CHEMBL1981657,-0.714,N=C(NN=Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1)N[N+](=O)[O-],N=C(N[N+](=O)[O-])NN=Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1
CHEMBL1464373,-2.255,O=C(COC(=O)c1ccc(NS(=O)(=O)c2cccs2)cc1)NCc1ccco1,O=C(COC(=O)c1ccc(NS(=O)(=O)c2cccs2)cc1)NCc1ccco1
CHEMBL1509377,-0.974,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1
CHEMBL2047670,-0.162,CON=C(Cc1ccc(OC)c(Br)c1)C(=O)NCCS,CON=C(Cc1ccc(OC)c(Br)c1)C(=O)NCCS
CHEMBL2047687,0.232,O=C(NCCS)C(Cc1ccccc1)=NO,O=C(NCCS)C(Cc1ccccc1)=NO
CHEMBL2047668,-0.07,CON=C(Cc1ccc(OC)c(Br)c1)C(=O)NCCSSCCNC(=O)C(Cc1ccc(OC)c(Br)c1)=NOC,CON=C(Cc1ccc(OC)c(Br)c1)C(=O)NCCSSCCNC(=O)C(Cc1ccc(OC)c(Br)c1)=NOC
CHEMBL1569215,-1.284,O=C1NN(c2ccc(Cl)cc2)C(=O)C1=Cc1ccc(-c2cccc(C(=O)O)c2)o1,O=C1NN(c2ccc(Cl)cc2)C(=O)/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1
CHEMBL1607517,0.059,O=C1c2ccccc2-c2cccc3cccc1c23,O=C1c2ccccc2-c2cccc3cccc1c23
CHEMBL2178767,-0.174,Cn1cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2cn(C)c3ccc(Br)cc23)=NO)c2cc(Br)ccc21,Cn1cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2cn(C)c3ccc(Br)cc23)=NO)c2cc(Br)ccc21
CHEMBL617,-0.013,CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O,CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O
CHEMBL1312212,-1.029,COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1,COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1
CHEMBL1181670,-0.362,c1ccc2c(c1)C1=NCCN1c1ccccc1-2,c1ccc2c(c1)C1=NCCN1c1ccccc1-2
CHEMBL1445488,-1.299,CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4ccccc4O)cn3c(=O)c2c1C,CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4ccccc4O)cn3c(=O)c2c1C
