ID,SMILES_chiral,SMILES_no_chiral,NPL_score
UNPD_subset_A_8447,c1ccc2c(c1)cc1c3c(cc4c(c32)OCO4)CCN1,c1ccc2c(c1)cc1c3c(cc4c(c32)OCO4)CCN1,1.198
UNPD_subset_A_8448,CO[C@H]1C=C[C@]23c4cc5c(cc4C(=O)O[C@H]2CN[C@@H]3C1)OCO5,COC1C=CC23c4cc5c(cc4C(=O)OC2CNC3C1)OCO5,2.522
UNPD_subset_A_8449,C/C1=C\[C@H]2OC(=O)C(C)[C@@H]2CC/C=C/CC1,CC1=CC2OC(=O)C(C)C2CCC=CCC1,2.754
UNPD_subset_A_8450,CC1=CCC2=C(C)CC[C@@H]3C(C)C(=O)O[C@@H]3[C@@H]12,CC1=CCC2=C(C)CCC3C(C)C(=O)OC3C12,2.884
UNPD_subset_A_8451,Cn1c(Br)c(Br)c2c1C(=O)N1CCC[C@]13N=C(N)N[C@H]23,Cn1c(Br)c(Br)c2c1C(=O)N1CCCC13N=C(N)NC23,0.735
UNPD_subset_A_8452,COc1ccc2cc1Oc1ccc(cc1)CCC(=O)OCCC2,COc1ccc2cc1Oc1ccc(cc1)CCC(=O)OCCC2,2.145
UNPD_subset_A_8453,C[C@H]1CC[C@H]2[C@@H](CC[C@@H]3COC(=O)[C@@]32C)C1,CC1CCC2C(CCC3COC(=O)C32C)C1,2.125
UNPD_subset_A_8454,CC1=C2C[C@@H]3C(C)C(=O)O[C@@H]3C[C@@]2(C)C=CC1=O,CC1=C2CC3C(CC2(C)C=CC1=O)OC(=O)C3C,2.885
UNPD_subset_A_8455,CC1CC(=O)C(=O)CCC(=O)O[C@H](C)C=CCC(=O)O1,CC1C=CCC(=O)OC(C)CC(=O)C(=O)CCC(=O)O1,1.873
UNPD_subset_A_8456,C=C1CCC[C@]2(C)C[C@]3(OC)OC(=O)C(C)=C3C[C@@H]12,C=C1CCCC2(C)CC3(OC)OC(=O)C(C)=C3CC12,2.968
UNPD_subset_A_8457,COc1ccc2c3c1O[C@H]1[C@@H](OC)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,COc1ccc2c3c1OC1C(OC)C=CC4C(C2)N(C)CCC341,2.247
UNPD_subset_A_8458,CO[C@H]1[C@H]2OCC[C@H]2[C@@H](OC)C2C(=O)C[C@H](C)O[C@H]21,COC1C2OCCC2C(OC)C2C(=O)CC(C)OC12,1.688
UNPD_subset_A_8459,C=C1C=C2C(=O)C(C)=C(OC)C(=O)C2=CN1C,C=C1C=C2C(=O)C(C)=C(OC)C(=O)C2=CN1C,1.356
UNPD_subset_A_8460,CO[C@@H]1/C=C(\C)Cc2occ(C)c2C(=O)C[C@H](C)C1,COC1C=C(C)Cc2occ(C)c2C(=O)CC(C)C1,2.591
UNPD_subset_A_8461,Cc1c2c(cc3c1CCC(C)(C)O3)OC(=O)CC2,Cc1c2c(cc3c1CCC(C)(C)O3)OC(=O)CC2,1.424
UNPD_subset_A_8462,C[C@@H]1[C@H]2CN3CCC[C@@]14CC[C@H]1Nc5ccccc5[C@]12[C@@H]34,CC1C2CN3CCCC14CCC1Nc5ccccc5C12C34,1.986
UNPD_subset_A_8463,CC1CCCCCCCCCCC1=O,CC1CCCCCCCCCCC1=O,0.6
UNPD_subset_A_8464,CO[C@]12CC(C)=c3ccc(C)cc3=C1C(C)C(=O)O2,COC12CC(C)=c3ccc(C)cc3=C1C(C)C(=O)O2,1.103
UNPD_subset_A_8465,C=C1C(=O)O[C@@H]2[C@@H]3O[C@]3(C)CC/C=C(\C)CC[C@H]12,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,3.928
UNPD_subset_A_8466,CC1(C)C(=O)C(=O)C[C@@]2(C)[C@H]1CC[C@@]13C=C[C@@](C)(C1)C(=O)C[C@@H]32,CC12C=CC3(CCC4C(C)(C)C(=O)C(=O)CC4(C)C3CC1=O)C2,2.837
UNPD_subset_A_8467,CC1(C)C(=O)CC[C@]2(C)[C@@H]1CC[C@]13C[C@@H]4[C@H](C[C@@H]21)[C@]4(C)C3,CC1(C)C(=O)CCC2(C)C3CC4C5CC3(CCC12)CC45C,3.675
UNPD_subset_A_8468,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)s2)s1,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)s2)s1,-0.779
