ID,SMILES_chiral,SMILES_no_chiral,NPL_score
REAL_subset_2842,Cn1c(N2CCN(CC3CC34CCCOC4)CC2)nc(Cl)c1C#N,Cn1c(N2CCN(CC3CC34CCCOC4)CC2)nc(Cl)c1C#N,-0.641
REAL_subset_2843,COc1cc(C(=O)C(O)N[C@@H](C)c2csc3ccccc23)c(F)cc1O,COc1cc(C(=O)C(O)NC(C)c2csc3ccccc23)c(F)cc1O,-0.57
REAL_subset_2844,COc1cccc2c(=O)c(C)c(C(=O)NC(C(=O)c3ccccc3)C(C)C)[nH]c12,COc1cccc2c(=O)c(C)c(C(=O)NC(C(=O)c3ccccc3)C(C)C)[nH]c12,-0.365
REAL_subset_2845,COc1ccc(OC)c(C(O)C(C)NC(=O)c2csc(C(C)(C)C)c2)c1,COc1ccc(OC)c(C(O)C(C)NC(=O)c2csc(C(C)(C)C)c2)c1,-0.566
REAL_subset_2846,COCC(C)(CO)CNC(=O)NC(C)Cc1c[nH]c2ccc(C)cc12,COCC(C)(CO)CNC(=O)NC(C)Cc1c[nH]c2ccc(C)cc12,-0.783
REAL_subset_2847,CNS(=O)(=O)c1cc(NC(=O)Nc2c[nH]c3cccc(F)c23)ccc1OC,CNS(=O)(=O)c1cc(NC(=O)Nc2c[nH]c3cccc(F)c23)ccc1OC,-1.871
REAL_subset_2848,COC(=O)c1cccc2sc(C(=O)Nc3ccc4[nH]cnc(=O)c4c3)cc12,COC(=O)c1cccc2sc(C(=O)Nc3ccc4[nH]cnc(=O)c4c3)cc12,-1.634
REAL_subset_2849,COc1cccc2scc(C(=O)NC(CO)c3cc(C)ccc3F)c12,COc1cccc2scc(C(=O)NC(CO)c3cc(C)ccc3F)c12,-1.188
REAL_subset_2850,Cn1c(S(=O)(=O)N2CCOC3(CC4CCC3C4)C2)nc(Cl)c1C#N,Cn1c(S(=O)(=O)N2CCOC3(CC4CCC3C4)C2)nc(Cl)c1C#N,-0.354
REAL_subset_2851,Cc1[nH]ccc1C(=O)N1CCC2CC1CN(C(=O)c1sccc1Cl)C2,Cc1[nH]ccc1C(=O)N1CCC2CC1CN(C(=O)c1sccc1Cl)C2,-1.231
REAL_subset_2852,CC(CNCC(C)(C)C(C)C)OC(F)F,CC(CNCC(C)(C)C(C)C)OC(F)F,-0.201
REAL_subset_2853,Cc1cn[nH]c(=O)c1C(=O)N1CCCC(N(C)C(=O)C2C[C@]3(C)C[C@@H]2CO3)C1,Cc1cn[nH]c(=O)c1C(=O)N1CCCC(N(C)C(=O)C2CC3(C)CC2CO3)C1,-0.654
REAL_subset_2854,Cc1c(C(=O)N(C)C2CN(C(=O)C3(C#N)CC3)CCc3ccccc32)nnn1C,Cc1c(C(=O)N(C)C2CN(C(=O)C3(C#N)CC3)CCc3ccccc32)nnn1C,-1.436
REAL_subset_2855,CC1(C)C[C@@H](N)CC(C(=O)N2CCCC(c3n[nH]c(-c4ccccc4)n3)C2)O1,CC1(C)CC(N)CC(C(=O)N2CCCC(c3n[nH]c(-c4ccccc4)n3)C2)O1,-0.854
REAL_subset_2856,CC(CNC(COC(F)(F)F)C(C)(C)C)N(C)C,CC(CNC(COC(F)(F)F)C(C)(C)C)N(C)C,-0.538
REAL_subset_2857,Cc1cc(C(=O)N2CCN(C(=O)C3(C#N)CCC3)CC2c2ccnn2C)[nH]c1C,Cc1cc(C(=O)N2CCN(C(=O)C3(C#N)CCC3)CC2c2ccnn2C)[nH]c1C,-1.331
REAL_subset_2858,Cc1sc(C)c(-c2nc(-c3ccnc(N4CCCC(O)C4)c3)no2)c1C#N,Cc1sc(C)c(-c2nc(-c3ccnc(N4CCCC(O)C4)c3)no2)c1C#N,-1.761
REAL_subset_2859,CC1(C(=O)N2CCC(c3c[nH]nn3)C2)CCN(c2ccc(Cl)cc2C#N)CC1,CC1(C(=O)N2CCC(c3c[nH]nn3)C2)CCN(c2ccc(Cl)cc2C#N)CC1,-1.427
REAL_subset_2860,CC1(C)CN(C(=O)c2cc(C#N)c[nH]2)CCN(C(=O)C2CCCn3ccnc32)C1,CC1(C)CN(C(=O)c2cc(C#N)c[nH]2)CCN(C(=O)C2CCCn3ccnc32)C1,-0.97
REAL_subset_2861,COc1ccc(C)cc1Cc1noc(-c2nccc3[nH]ncc23)n1,COc1ccc(C)cc1Cc1noc(-c2nccc3[nH]ncc23)n1,-1.547
REAL_subset_2862,N#C[C@@H]1CCCC[C@H]1NC(=O)C1C2CCC(CC2)[C@@H]1C(F)(F)F,N#CC1CCCCC1NC(=O)C1C2CCC(CC2)C1C(F)(F)F,-0.364
REAL_subset_2863,NC(=O)C(O)(C1CC1)C(F)(F)F,NC(=O)C(O)(C1CC1)C(F)(F)F,-0.154
REAL_subset_2864,NC(=O)C1CC(O)(C2(O)CCC2)C1,NC(=O)C1CC(O)(C2(O)CCC2)C1,0.896
REAL_subset_2865,NC(=O)C1C[C@@H]2CC[C@@H]2C1,NC(=O)C1CC2CCC2C1,0.17
REAL_subset_2866,NC(=O)NC1(C(=O)N[C@@H]2CC[C@@](O)(C(F)(F)F)C2)CCCCC1,NC(=O)NC1(C(=O)NC2CCC(O)(C(F)(F)F)C2)CCCCC1,-0.336
REAL_subset_2867,NC(C(=O)N1CCC2CCC(C1)S2)C1(O)CCCCC1,NC(C(=O)N1CCC2CCC(C1)S2)C1(O)CCCCC1,0.213
REAL_subset_2868,NC(C(=O)NC1CCSC2(CCC2)C1)C1CCS(=O)(=O)CC1,NC(C(=O)NC1CCSC2(CCC2)C1)C1CCS(=O)(=O)CC1,-0.341
REAL_subset_2869,NC1(C(=O)N2CCN3C[C@@H](F)C[C@H]3C2)CCS(=O)(=O)C1,NC1(C(=O)N2CCN3CC(F)CC3C2)CCS(=O)(=O)C1,-1.208
REAL_subset_2870,NC1CC2(C1)CC1(CC(C(=O)NS(=O)(=O)N3CCC(F)(F)CC3)C1)C2,NC1CC2(C1)CC1(CC(C(=O)NS(=O)(=O)N3CCC(F)(F)CC3)C1)C2,-0.206
REAL_subset_2871,CN(C(=O)C1=C(Cl)CC1)[C@@H]1C[C@H]2C[C@@H]1N(C(=O)CC(C)(C)CC(F)F)C2,CN(C(=O)C1=C(Cl)CC1)C1CC2CC1N(C(=O)CC(C)(C)CC(F)F)C2,-0.612
REAL_subset_2872,CCc1nc(CCc2[nH]nc3ccccc23)n(-c2ccc(OC)c(C)c2)n1,CCc1nc(CCc2[nH]nc3ccccc23)n(-c2ccc(OC)c(C)c2)n1,-1.511
REAL_subset_2873,CN(C)C1CC(C(=O)N[C@@H]2C[C@@]3(NC(=O)C(F)C4CCCCC4)CO[C@@H]2C3)C1,CN(C)C1CC(C(=O)NC2CC3(NC(=O)C(F)C4CCCCC4)COC2C3)C1,-0.342
REAL_subset_2874,CCc1nc(-c2[nH]nc3c(C)cccc23)n(Cc2ccc(OC)cc2OC)n1,CCc1nc(-c2[nH]nc3c(C)cccc23)n(Cc2ccc(OC)cc2OC)n1,-1.156
REAL_subset_2875,CN(CCNC(=O)C1OC[C@@H]2COCC[C@H]12)C(=O)C12CCCC(C)(C1)OC2,CN(CCNC(=O)C1OCC2COCCC21)C(=O)C12CCCC(C)(C1)OC2,0.411
REAL_subset_2876,Cc1cccn2cc(Cn3cc(-c4ccc(C(F)(F)F)cc4C#N)nn3)nc12,Cc1cccn2cc(Cn3cc(-c4ccc(C(F)(F)F)cc4C#N)nn3)nc12,-2.262
REAL_subset_2877,CCc1nc(-c2nc(-c3cncc(F)c3)nn2-c2ccc(F)c(OC)c2)c[nH]1,CCc1nc(-c2nc(-c3cncc(F)c3)nn2-c2ccc(F)c(OC)c2)c[nH]1,-1.768
REAL_subset_2878,CCc1n[nH]c(C(C)n2cc(C(N)Cc3cccc(F)c3)nn2)n1,CCc1n[nH]c(C(C)n2cc(C(N)Cc3cccc(F)c3)nn2)n1,-1.589
REAL_subset_2879,CCCn1nc(Cc2cccc(OC)c2)nc1-c1cccn2c(C)cnc12,CCCn1nc(Cc2cccc(OC)c2)nc1-c1cccn2c(C)cnc12,-1.419
REAL_subset_2880,CN(C(=O)[C@]12CO[C@H](C1)[C@H](NC(=O)OC(C)(C)C)C2)C1CCCSC1,CN(C(=O)C12COC(C1)C(NC(=O)OC(C)(C)C)C2)C1CCCSC1,-0.434
REAL_subset_2881,CCCN(C)C1CCN(c2nc3cc(Br)cnc3s2)CC1,CCCN(C)C1CCN(c2nc3cc(Br)cnc3s2)CC1,-2.235
REAL_subset_2882,CC1CC(OC(=O)C23CC(NC(=O)OC(C)(C)C)(C2)C3(F)F)CC(C)O1,CC1CC(OC(=O)C23CC(NC(=O)OC(C)(C)C)(C2)C3(F)F)CC(C)O1,0.205
REAL_subset_2883,CCC(C)Cc1nc(-c2nccc(C)n2)n(-c2cncc(C)c2)n1,CCC(C)Cc1nc(-c2nccc(C)n2)n(-c2cncc(C)c2)n1,-1.292
REAL_subset_2884,CC1CC2(CO1)CC(NC(=O)C1CNC[C@H](C(C)(C)C)C1)C2,CC1CC2(CO1)CC(NC(=O)C1CNCC(C(C)(C)C)C1)C2,-0.204
